Month,Total,"Total less foods, energy, and trade services",Goods,Foods,Energy,Goods less foods and energy,Services,Trade,Transportation and warehousing,"Services less trade, transportation, and warehousing"
Jan 2011,2.40%,,4.60%,6.10%,10.40%,2.70%,1.20%,0.60%,4.70%,1.10%
Feb 2011,3.30%,,6.60%,9.90%,16.70%,3.10%,1.40%,1.10%,5.60%,1.20%
Mar 2011,4.00%,,6.70%,6.60%,20.10%,3.00%,2.30%,2.50%,6.80%,1.70%
Apr 2011,4.20%,,7.60%,8.10%,23.10%,3.20%,2.20%,2.20%,6.90%,1.70%
May 2011,4.20%,,8.00%,6.80%,25.60%,3.40%,2.00%,2.10%,7.50%,1.30%
June 2011,4.30%,,8.20%,10.60%,22.10%,3.70%,2.30%,2.50%,6.50%,1.60%
July 2011,4.50%,,8.30%,10.10%,21.70%,4.10%,2.30%,2.50%,6.00%,1.60%
Aug 2011,4.40%,,7.60%,11.20%,17.20%,3.90%,2.70%,3.80%,7.10%,1.70%
Sept 2011,4.50%,,7.90%,10.60%,19.50%,3.90%,2.60%,3.10%,7.70%,1.70%
Oct 2011,3.70%,,6.40%,8.30%,14.00%,3.70%,2.20%,2.30%,7.10%,1.50%
Nov 2011,3.70%,,5.80%,7.70%,13.10%,3.40%,2.40%,2.80%,6.60%,1.70%
Dec 2011,3.20%,,4.70%,5.70%,9.20%,3.10%,2.30%,2.30%,6.70%,1.80%
Jan 2012,3.10%,,4.00%,5.10%,7.30%,2.90%,2.40%,3.10%,5.80%,1.70%
Feb 2012,2.80%,,3.30%,1.20%,7.20%,2.60%,2.40%,3.40%,5.60%,1.70%
Mar 2012,2.40%,,2.80%,2.60%,3.70%,2.60%,2.00%,2.50%,4.60%,1.50%
Apr 2012,2.00%,,1.60%,1.90%,-0.20%,2.20%,2.10%,2.70%,4.40%,1.60%
May 2012,1.60%,,0.50%,2.70%,-5.70%,2.00%,2.20%,3.00%,3.50%,1.60%
June 2012,1.30%,,0.10%,2.20%,-5.80%,1.50%,1.90%,2.80%,3.70%,1.40%
July 2012,1.00%,,-0.10%,3.00%,-6.60%,1.30%,1.60%,2.60%,3.20%,1.10%
Aug 2012,1.20%,,1.40%,3.10%,0.50%,1.30%,1.00%,0.40%,3.10%,1.10%
Sept 2012,1.50%,,1.70%,2.90%,2.60%,1.10%,1.30%,0.90%,2.90%,1.40%
Oct 2012,1.90%,,2.10%,3.80%,3.60%,1.10%,1.80%,2.60%,3.30%,1.30%
Nov 2012,1.70%,,1.10%,3.60%,-1.80%,1.30%,2.00%,3.40%,2.90%,1.20%
Dec 2012,1.90%,,1.40%,4.10%,-1.30%,1.40%,2.20%,3.80%,2.70%,1.40%
Jan 2013,1.60%,,1.30%,4.10%,-1.10%,1.20%,1.80%,2.80%,2.30%,1.30%
Feb 2013,1.60%,,1.50%,3.30%,1.10%,1.30%,1.60%,1.50%,1.60%,1.50%
Mar 2013,1.30%,,0.70%,3.70%,-2.90%,1.10%,1.60%,1.40%,1.30%,1.80%
Apr 2013,0.90%,,0.10%,2.20%,-4.40%,1.00%,1.40%,1.60%,0.00%,1.50%
May 2013,0.90%,,1.10%,3.50%,-0.70%,0.90%,0.90%,-0.60%,-0.30%,1.70%
June 2013,1.70%,,1.90%,3.20%,3.10%,1.20%,1.40%,0.70%,0.70%,1.90%
July 2013,2.00%,,1.80%,2.20%,3.60%,1.10%,2.00%,2.10%,1.60%,2.00%
Aug 2013,1.70%,,0.70%,0.50%,0.00%,0.90%,2.20%,2.80%,1.40%,2.00%
Sept 2013,1.10%,,-0.20%,-0.30%,-3.60%,0.90%,1.80%,2.20%,0.80%,1.80%
Oct 2013,1.30%,,-0.20%,-0.20%,-3.90%,1.00%,2.00%,2.00%,0.60%,2.10%
Nov 2013,1.10%,,0.40%,-0.90%,-1.10%,1.00%,1.50%,0.80%,0.30%,2.10%
Dec 2013,1.20%,,0.80%,-0.80%,0.90%,1.30%,1.30%,-0.40%,2.00%,2.00%
Jan 2014,1.30%,,1.10%,-0.70%,1.10%,1.60%,1.30%,0.20%,1.00%,2.00%
Feb 2014,1.20%,,0.60%,0.70%,-2.00%,1.40%,1.60%,1.20%,0.70%,1.90%
Mar 2014,1.60%,,1.20%,1.20%,1.30%,1.20%,1.80%,1.50%,1.20%,2.00%
Apr 2014,1.80%,,2.50%,5.10%,3.80%,1.40%,1.60%,0.70%,2.70%,1.80%
May 2014,2.10%,,2.00%,3.60%,2.50%,1.40%,2.20%,3.00%,3.20%,1.70%
June 2014,1.80%,,2.20%,3.80%,3.10%,1.50%,1.70%,1.40%,2.90%,1.60%
July 2014,1.90%,,2.00%,3.60%,2.40%,1.60%,2.00%,2.30%,2.60%,1.60%
Aug 2014,1.90%,1.80%,1.70%,3.80%,0.50%,1.60%,2.00%,2.00%,2.70%,1.80%
Sept 2014,1.60%,1.70%,1.50%,3.90%,-0.50%,1.70%,1.60%,1.10%,2.60%,1.60%
Oct 2014,1.50%,1.50%,1.00%,4.30%,-3.80%,1.70%,1.90%,2.80%,1.80%,1.40%
Nov 2014,1.30%,1.50%,0.40%,4.40%,-5.90%,1.50%,1.80%,2.30%,2.30%,1.30%
Dec 2014,0.90%,1.30%,-1.20%,4.40%,-13.20%,1.10%,2.10%,4.00%,0.80%,1.40%
Jan 2015,0.00%,1.00%,-3.60%,2.60%,-22.30%,0.70%,2.00%,4.20%,0.60%,1.00%
Feb 2015,-0.50%,0.80%,-4.10%,0.60%,-22.40%,0.50%,1.20%,1.90%,0.00%,1.00%
Mar 2015,-0.90%,0.70%,-4.50%,-1.60%,-22.00%,0.60%,0.90%,1.40%,-0.90%,0.80%
Apr 2015,-1.10%,0.80%,-5.50%,-4.50%,-24.00%,0.40%,1.20%,1.80%,-1.90%,1.20%
May 2015,-0.80%,0.70%,-4.00%,-3.00%,-19.00%,0.50%,0.80%,0.80%,-2.00%,1.20%
June 2015,-0.50%,0.80%,-3.70%,-2.70%,-18.20%,0.70%,1.10%,1.70%,-2.10%,1.30%
July 2015,-0.70%,0.90%,-3.80%,-3.30%,-17.90%,0.50%,0.80%,0.80%,-2.20%,1.30%
Aug 2015,-1.00%,0.60%,-4.30%,-2.60%,-19.90%,0.40%,0.70%,1.00%,-3.40%,1.10%
Sept 2015,-1.10%,0.50%,-5.10%,-3.00%,-23.60%,0.20%,0.90%,2.00%,-3.20%,1.00%
Oct 2015,-1.40%,0.40%,-4.80%,-4.20%,-21.40%,-0.10%,0.30%,-0.20%,-2.90%,0.90%
Nov 2015,-1.30%,0.20%,-4.40%,-4.30%,-19.20%,-0.10%,0.40%,0.40%,-2.70%,0.70%
Dec 2015,-1.10%,0.30%,-3.80%,-5.20%,-16.40%,-0.10%,0.20%,0.00%,-3.50%,0.80%
Jan 2016,0.00%,0.80%,-2.40%,-3.50%,-11.10%,0.00%,1.20%,1.10%,-2.30%,1.70%
Feb 2016,0.10%,0.90%,-2.80%,-2.00%,-15.40%,0.20%,1.60%,2.30%,-2.00%,1.70%
Mar 2016,-0.10%,0.90%,-2.80%,-2.50%,-15.40%,0.30%,1.30%,1.40%,-1.90%,1.80%
Apr 2016,0.20%,1.00%,-2.00%,-2.10%,-12.30%,0.60%,1.20%,1.60%,-1.90%,1.60%
May 2016,0.00%,1.00%,-2.50%,-2.50%,-13.90%,0.60%,1.40%,1.90%,-2.50%,1.50%
June 2016,0.20%,1.00%,-2.20%,-2.40%,-11.60%,0.50%,1.50%,2.20%,-2.50%,1.60%
July 2016,0.00%,1.00%,-2.20%,-2.60%,-11.40%,0.50%,1.10%,0.60%,-1.90%,1.70%
Aug 2016,0.00%,1.20%,-1.90%,-4.10%,-10.00%,0.80%,1.00%,0.30%,-1.40%,1.70%
Sept 2016,0.60%,1.30%,-0.40%,-3.10%,-2.90%,0.90%,1.40%,0.80%,-1.80%,1.90%
Oct 2016,1.10%,1.50%,0.40%,-3.20%,0.50%,1.20%,1.60%,1.30%,-0.90%,2.10%
Nov 2016,1.30%,1.80%,0.50%,-3.50%,0.20%,1.50%,1.70%,1.40%,-0.40%,2.20%
Dec 2016,1.70%,1.80%,1.90%,-1.60%,6.30%,1.70%,1.60%,1.00%,1.10%,2.00%
Jan 2017,1.70%,1.70%,3.10%,-2.10%,13.70%,2.00%,1.10%,0.40%,1.00%,1.50%
Feb 2017,2.00%,1.80%,4.00%,-1.40%,19.20%,2.10%,1.00%,-0.40%,1.70%,1.60%
Mar 2017,2.20%,1.80%,4.10%,0.60%,15.30%,2.40%,1.30%,0.90%,0.60%,1.50%
Apr 2017,2.50%,2.00%,4.10%,2.20%,14.10%,2.40%,1.70%,1.10%,1.70%,1.90%
May 2017,2.30%,2.10%,2.90%,1.00%,7.90%,2.20%,2.00%,1.70%,2.00%,2.20%
June 2017,1.90%,2.10%,2.20%,1.10%,3.80%,2.10%,1.70%,0.60%,2.20%,2.20%
July 2017,2.00%,2.00%,2.30%,1.60%,3.90%,2.00%,1.90%,1.60%,1.30%,2.10%
Aug 2017,2.40%,1.90%,3.10%,2.30%,8.30%,2.10%,2.20%,2.80%,1.70%,1.90%
Sept 2017,2.60%,2.10%,3.40%,1.60%,10.70%,2.20%,2.10%,2.10%,3.50%,1.90%
Oct 2017,2.80%,2.40%,3.20%,2.60%,7.90%,2.30%,2.40%,2.60%,3.50%,2.20%
Nov 2017,3.00%,2.40%,4.20%,3.20%,12.50%,2.40%,2.30%,2.10%,3.90%,2.30%
Dec 2017,2.50%,2.30%,3.50%,2.00%,10.10%,2.20%,2.10%,1.80%,2.30%,2.30%
Jan 2018,2.60%,2.50%,3.20%,1.90%,8.70%,2.10%,2.20%,1.40%,2.30%,2.60%
Feb 2018,2.80%,2.70%,3.10%,0.60%,9.00%,2.20%,2.70%,2.60%,3.10%,2.70%
Mar 2018,2.90%,2.90%,3.30%,1.90%,8.60%,2.30%,2.80%,1.80%,4.90%,3.00%
Apr 2018,2.70%,2.60%,3.00%,-0.60%,9.40%,2.20%,2.50%,1.70%,4.50%,2.50%
May 2018,3.10%,2.70%,4.30%,0.60%,15.90%,2.50%,2.40%,1.40%,5.00%,2.60%
June 2018,3.30%,2.70%,4.40%,-1.10%,17.50%,2.60%,2.70%,2.40%,5.60%,2.50%
July 2018,3.40%,3.00%,4.40%,-1.30%,17.00%,2.80%,2.70%,2.00%,6.20%,2.70%
Aug 2018,3.00%,3.00%,3.90%,-1.10%,13.90%,2.80%,2.50%,1.20%,5.80%,2.70%
Sept 2018,2.70%,3.10%,3.40%,-1.20%,10.00%,2.80%,2.50%,0.90%,6.10%,2.80%
Oct 2018,3.10%,3.00%,3.80%,-0.60%,12.60%,2.70%,2.60%,1.60%,6.60%,2.70%
Nov 2018,2.60%,2.90%,2.60%,0.40%,4.10%,2.70%,2.60%,2.00%,6.40%,2.60%
Dec 2018,2.60%,2.80%,1.60%,2.80%,-3.10%,2.60%,3.00%,3.10%,6.50%,2.60%
Jan 2019,1.90%,2.60%,0.60%,1.30%,-7.40%,2.50%,2.60%,2.50%,6.40%,2.10%
Feb 2019,1.90%,2.40%,0.70%,1.60%,-6.50%,2.30%,2.40%,2.40%,4.50%,2.20%
Mar 2019,2.00%,2.20%,1.20%,0.00%,-0.90%,2.10%,2.30%,2.70%,3.60%,2.00%
Apr 2019,2.40%,2.40%,1.70%,1.20%,1.20%,1.90%,2.70%,3.30%,3.90%,2.30%
May 2019,2.10%,2.40%,0.80%,0.60%,-2.20%,1.60%,2.70%,2.70%,3.90%,2.50%
June 2019,1.60%,2.10%,0.00%,2.30%,-6.80%,1.30%,2.30%,2.20%,3.10%,2.30%
July 2019,1.60%,1.90%,0.30%,2.60%,-5.30%,1.20%,2.30%,2.70%,2.90%,2.10%
Aug 2019,1.90%,1.90%,-0.10%,2.30%,-6.70%,1.00%,2.70%,3.90%,2.50%,2.20%
Sept 2019,1.50%,1.70%,-0.50%,2.70%,-8.40%,0.90%,2.30%,3.20%,1.10%,2.00%
Oct 2019,1.00%,1.50%,-0.60%,3.20%,-8.80%,0.70%,1.90%,2.20%,0.90%,1.80%
Nov 2019,1.00%,1.40%,0.20%,3.40%,-4.40%,0.60%,1.40%,0.80%,0.10%,1.80%
Dec 2019,1.40%,1.50%,1.00%,1.20%,2.40%,0.60%,1.40%,0.80%,2.20%,1.80%
Jan 2020,2.00%,1.50%,1.80%,2.80%,6.40%,0.60%,1.90%,1.50%,0.70%,2.20%
Feb 2020,1.10%,1.40%,0.60%,1.10%,0.10%,0.60%,1.40%,0.70%,1.00%,1.70%
Mar 2020,0.30%,1.00%,-1.70%,0.70%,-12.60%,0.40%,1.30%,1.40%,-1.80%,1.50%
Apr 2020,-1.50%,-0.10%,-5.20%,0.30%,-30.70%,0.20%,0.30%,1.70%,-5.70%,0.30%
May 2020,-1.10%,-0.20%,-3.60%,6.50%,-27.50%,0.20%,0.20%,1.50%,-4.90%,0.10%
June 2020,-0.70%,0.10%,-2.60%,0.60%,-17.20%,0.30%,0.30%,1.20%,-3.90%,0.30%
July 2020,-0.30%,0.30%,-2.20%,-0.40%,-14.20%,0.50%,0.70%,1.90%,-4.70%,0.60%
Aug 2020,-0.30%,0.40%,-1.60%,-0.10%,-12.30%,0.80%,0.30%,1.10%,-5.20%,0.70%
Sept 2020,0.30%,0.80%,-1.00%,1.30%,-11.70%,1.10%,0.90%,1.70%,-4.20%,1.20%
Oct 2020,0.60%,0.90%,-1.00%,2.20%,-12.60%,1.00%,1.30%,2.50%,-3.40%,1.30%
Nov 2020,0.80%,1.00%,-0.80%,0.90%,-11.00%,1.30%,1.60%,3.10%,-3.80%,1.40%
Dec 2020,0.80%,1.30%,0.00%,-0.20%,-6.80%,1.70%,1.30%,1.90%,-5.90%,1.70%
Jan 2021,1.60%,1.90%,1.30%,1.20%,-2.70%,2.30%,1.80%,2.30%,-4.10%,2.30%
Feb 2021,3.00%,2.30%,3.50%,4.50%,5.90%,2.70%,2.60%,3.40%,-2.90%,2.80%
Mar 2021,4.10%,3.10%,7.00%,5.10%,23.70%,3.60%,2.90%,2.60%,1.60%,3.20%
Apr 2021,6.50%,4.80%,10.90%,7.30%,48.90%,4.80%,4.50%,3.80%,9.00%,4.50%
May 2021,7.00%,5.30%,11.10%,4.30%,46.40%,6.10%,5.10%,5.80%,7.80%,4.60%
June 2021,7.60%,5.60%,11.90%,10.90%,36.00%,7.00%,5.50%,6.80%,8.00%,4.80%
July 2021,8.00%,6.00%,12.10%,10.40%,33.90%,7.60%,6.00%,7.60%,11.40%,4.80%
Aug 2021,8.70%,6.20%,12.70%,13.00%,33.00%,8.00%,6.80%,10.00%,13.20%,4.70%
Sept 2021,8.80%,6.10%,13.40%,13.30%,36.20%,8.30%,6.70%,10.40%,11.30%,4.50%
Oct 2021,8.90%,6.20%,14.30%,10.60%,43.00%,8.90%,6.20%,9.40%,10.90%,4.30%
Nov 2021,9.90%,7.00%,14.90%,11.80%,42.90%,9.40%,7.50%,11.80%,14.60%,4.80%
Dec 2021,10.00%,7.00%,13.40%,13.10%,31.60%,9.30%,8.40%,14.20%,17.00%,4.80%
Jan 2022,10.10%,6.90%,13.60%,13.20%,31.30%,9.40%,8.20%,14.80%,15.90%,4.30%
Feb 2022,10.40%,6.70%,14.40%,14.00%,33.00%,9.70%,8.40%,16.40%,16.80%,3.80%
Mar 2022,11.70%,7.10%,15.80%,16.10%,37.40%,10.00%,9.40%,18.90%,21.80%,3.80%
Apr 2022,11.20%,6.80%,16.40%,16.30%,39.80%,10.20%,8.30%,16.70%,20.60%,3.10%
May 2022,11.10%,6.80%,16.70%,13.60%,44.90%,9.80%,8.00%,15.30%,23.40%,3.00%
June 2022,11.20%,6.40%,17.60%,12.50%,52.90%,9.20%,7.80%,14.80%,22.90%,2.80%
July 2022,9.70%,5.80%,14.70%,15.10%,35.80%,8.50%,6.90%,13.80%,19.10%,2.30%
Aug 2022,8.70%,5.60%,12.30%,12.80%,26.60%,8.10%,6.50%,12.50%,16.80%,2.50%
Sept 2022,8.50%,5.60%,11.30%,12.00%,24.00%,7.50%,6.70%,12.40%,17.80%,2.70%
Oct 2022,8.20%,5.50%,10.50%,13.00%,21.30%,6.60%,6.70%,11.80%,16.90%,3.00%
Nov 2022,7.30%,4.90%,9.60%,15.40%,16.40%,6.10%,5.90%,10.30%,12.80%,2.90%
Dec 2022,6.50%,4.70%,7.90%,14.30%,9.20%,5.80%,5.40%,9.40%,10.80%,2.80%
Jan 2023,6.00%,4.50%,7.50%,11.60%,10.40%,5.60%,5.00%,8.20%,11.30%,2.70%